iter	MultiClass
0	3.257704904
1	3.014615521
2	2.651039647
3	2.455540649
4	2.285081827
5	2.022017931
6	1.858270556
7	1.747727088
8	1.663009823
9	1.587724168
10	1.488430289
11	1.39479851
12	1.355376484
13	1.230576033
14	1.162057001
15	1.130677659
16	1.082855218
17	1.056679391
18	1.020700166
19	0.9928927461
20	0.920496669
21	0.8772383603
22	0.8620346428
23	0.7779618076
24	0.7320620527
25	0.707033134
26	0.6919795903
27	0.6810067697
28	0.6697957269
29	0.6465401156
30	0.6357012797
31	0.596726024
32	0.5742934909
33	0.5651491256
34	0.538203606
35	0.5278957053
36	0.5162064105
37	0.5029234738
38	0.4715585063
39	0.4507793582
40	0.4300095054
41	0.409786055
42	0.3920619988
43	0.3799427552
44	0.3582606051
45	0.3397698219
46	0.334396906
47	0.3221068432
48	0.3143229408
49	0.3014144833
50	0.2929656694
51	0.2808335617
52	0.2734207538
53	0.2689015409
54	0.2653703167
55	0.2523224278
56	0.2391565965
57	0.2350858005
58	0.2317867147
59	0.2218652504
60	0.2173044065
61	0.2146951906
62	0.2081876053
63	0.2051859239
64	0.1992765282
65	0.1916491547
66	0.181325528
67	0.1744805487
68	0.1710434726
69	0.1685624201
70	0.1627654775
71	0.1586737406
72	0.1562582422
73	0.1514988232
74	0.1437507067
75	0.1409216623
76	0.1393360436
77	0.1335887295
78	0.1286364719
79	0.1244098213
80	0.1203441509
81	0.1185859001
82	0.1159115972
83	0.1137865368
84	0.1090309831
85	0.105379924
86	0.1020151207
87	0.09975096472
88	0.09701893865
89	0.09488388746
90	0.09190099199
91	0.09112019734
92	0.08896300569
93	0.08759609566
94	0.08672834072
95	0.0844355419
96	0.08343445158
97	0.0804429326
98	0.07972861692
99	0.07796175073
100	0.07716325235
101	0.07637315536
102	0.07565257427
103	0.07345791368
104	0.07206701091
105	0.07162320087
106	0.06909946762
107	0.06818751141
108	0.06693698538
109	0.06588200781
110	0.0653185697
111	0.06463854433
112	0.06319363496
113	0.06269717043
114	0.06152423936
115	0.06016774617
116	0.05899638978
117	0.05864057358
118	0.05666764534
119	0.05507385025
120	0.053636645
121	0.05294577152
122	0.05246071044
123	0.05155318771
124	0.050034136
125	0.04975422512
126	0.04940071596
127	0.04870645373
128	0.04796343893
129	0.04741771365
130	0.04613052915
131	0.04489263114
132	0.04417323902
133	0.04390539892
134	0.04367105324
135	0.04257555433
136	0.04226749619
137	0.04095884418
138	0.04063713895
139	0.04034895065
140	0.03993009137
141	0.03909202724
142	0.03874749423
143	0.03854841128
144	0.03773804159
145	0.03684145125
146	0.03641285705
147	0.03582954379
148	0.03544571889
149	0.03519419051
150	0.03429487717
151	0.03411774496
152	0.03346035479
153	0.03296882038
154	0.03245775402
155	0.03196446397
156	0.03165120273
157	0.03074242921
158	0.03059315032
159	0.03039165519
160	0.03013442839
161	0.02973633907
162	0.02940194878
163	0.0287659066
164	0.02824466274
165	0.02808700078
166	0.02789846057
167	0.02777058016
168	0.02728006481
169	0.02660435748
170	0.02632166363
171	0.02596667314
172	0.02573912324
173	0.02549391501
174	0.02519412078
175	0.02497371267
176	0.02487037087
177	0.02443257307
178	0.0241381677
179	0.02386267636
180	0.02362428424
181	0.02303219547
182	0.02294394782
183	0.02232494104
184	0.02183632685
185	0.02170487511
186	0.02136401817
187	0.02114627278
188	0.02106235978
189	0.0205989614
190	0.02032062641
191	0.02013562091
192	0.020038786
193	0.01996081624
194	0.01972953866
195	0.01944021224
196	0.01905987018
197	0.0188343387
198	0.01873522145
199	0.01866043345
200	0.01853659267
201	0.01840112783
202	0.01810503709
203	0.01783356896
204	0.01775635366
205	0.01760667049
206	0.01743826312
207	0.01738019228
208	0.0172450989
209	0.01705321566
210	0.01672131478
211	0.01660732747
212	0.01627452119
213	0.01621514216
214	0.01604320983
215	0.01588597377
216	0.01582214909
217	0.01568815724
218	0.015512917
219	0.01545439162
220	0.01517253417
221	0.01506906063
222	0.01497309768
223	0.0149067749
224	0.01470832365
225	0.01465480725
226	0.01453690873
227	0.01448724008
228	0.01429921923
229	0.01419857767
230	0.01398667081
231	0.01387977
232	0.01379717874
233	0.01373092823
234	0.01363274052
235	0.01355454641
236	0.01351491971
237	0.01333186987
238	0.01318043468
239	0.01313621502
240	0.01297821047
241	0.01282714112
242	0.01269854573
243	0.01265882008
244	0.01257837687
245	0.01251620891
246	0.01237878747
247	0.01228314337
248	0.01208193797
249	0.01204701398
250	0.01185181338
251	0.01181908638
252	0.01174453946
253	0.01161419607
254	0.01153635836
255	0.01143234008
256	0.01130362859
257	0.01125453975
258	0.01120671272
259	0.0111147393
260	0.01108599317
261	0.01101416407
262	0.01091843922
263	0.0107949043
264	0.01067387544
265	0.01063509965
266	0.01047433268
267	0.0103697456
268	0.0102778864
269	0.01025236406
270	0.01015019775
271	0.01004567097
272	0.01000357005
273	0.00994823855
274	0.009856786074
275	0.009819144424
276	0.009640457847
277	0.009587201346
278	0.009551510635
279	0.009471540527
280	0.009398839437
281	0.009350728723
282	0.009325765205
283	0.009192740909
284	0.009115483451
285	0.009032831654
286	0.008906986227
287	0.008802424254
288	0.008759413244
289	0.00868084547
290	0.00862233448
291	0.008553482494
292	0.00845882237
293	0.008424537517
294	0.008403991133
295	0.008345035026
296	0.008254764602
297	0.008193779268
298	0.008163807605
299	0.008143511044
